,Harry Potter and the Chamber of Secrets,Unnamed: 1
77,"green eyes and jet-black hair that was always untidy. He wore round glasses, and on his",
78,"forehead was a thin, lightningshaped scar.",
79,"It was this scar that made Harry so particularly unusual, even for a wizard. This scar was",
80,"the only hint of Harry’s very mysterious past, of the reason he had been left on the",
81,Dursleys’ doorstep eleven years before.,
82,Page 3 of 291,
83,Get free e-books and video tutorials at www.passuneb.com,
84,,
85,,
86,"At the age of one year old, Harry had somehow survived a curse from the greatest Dark",
87,"sorcerer of all time, Lord Voldemort, whose name most witches and wizards still feared",
88,"to speak. Harry’s parents had died in Voldemort’s attack, but Harry had escaped with his",
89,"lightning scar, and somehow — nobody understood why —Voldemort’s powers had",
90,been destroyed the instant he had failed to kill Harry.,
91,So Harry had been brought up by his dead mother’s sister and her husband. He had,
92,"spent ten years with the Dursleys, never understanding why he kept making odd things",
93,"happen without meaning to, believing the Dursleys’ story that he had got his scar in the",
94,car crash that had killed his parents.,
95,"And then, exactly a year ago, Hogwarts had written to Harry, and the whole story had",
96,"come out. Harry had taken up his place at wizard school, where he and his scar were",
97,"famous… but now the school year was over, and he was back with the Dursleys for the",
98,"summer, back to being treated like a dog that had rolled in something smelly.",
99,The Dursleys hadn’t even remembered that today happened to be Harry’s twelfth,
100,"birthday. Of course, his hopes hadn’t been high; they’d never given him a real present,",
101,let alone a cake — but to ignore it completely…,
102,"At that moment, Uncle Vernon cleared his throat importantly and said, “Now, as we all",
103,"know, today is a very important day.”",
104,"Harry looked up, hardly daring to believe it.",
105,"“This could well be the day I make the biggest deal of my career,” said Uncle Vernon.",
106,"Harry went back to his toast. Of course, he thought bitterly, Uncle Vernon was talking",
107,about the stupid dinner party. He’d been talking of nothing else for two weeks. Some,
108,rich builder and his wife were coming to dinner and Uncle Vernon was hoping to get a,
109,huge order from him (Uncle Vernon’s company made drills).,
110,"“I think we should run through the schedule one more time,” said Uncle Vernon. “We",
111,"should all be in position at eight o’clock. Petunia, you will be —?”",
112,"“In the lounge,” said Aunt Petunia promptly, “waiting to welcome them graciously to our",
113,home.”,
114,Page 4 of 291,
115,Get free e-books and video tutorials at www.passuneb.com,
116,,
117,,
118,"“Good, good. And Dudley?”",
119,"“I’ll be waiting to open the door.” Dudley put on a foul, simpering smile. “May I take",
120,"your coats, Mr. and Mrs. Mason?”",
121,“They’ll love him!” cried Aunt Petunia rapturously.,
122,"“Excellent, Dudley,” said Uncle Vernon. Then he rounded on Harry. “And you?”",
123,"“I’ll be in my bedroom, making no noise and pretending I’m not there,” said Harry",
124,tonelessly.,
125,"“Exactly,” said Uncle Vernon nastily. “I will lead them into the lounge, introduce you,",
126,"Petunia, and pour them drinks. At eight-fifteen —”",
127,"“I’ll announce dinner,” said Aunt Petunia.",
128,"“And, Dudley, you’ll say —”",
129,"“May I take you through to the dining room, Mrs. Mason?” said Dudley, offering his fat",
130,arm to an invisible woman.,
131,“My perfect little gentleman!” sniffed Aunt Petunia.,
132,“And you?” said Uncle Vernon viciously to Harry.,
133,"“I’ll be in my room, making no noise and pretending I’m not there,” said Harry dully.",
134,"“Precisely. Now, we should aim to get in a few good compliments at dinner. Petunia, any",
135,ideas?”,
136,"“Vernon tells me you’re a wonderful golfer, Mr. Mason… Do tell me where you bought",
137,"your dress, Mrs. Mason…”",
138,“Perfect… Dudley?”,
139,Page 5 of 291,
140,Get free e-books and video tutorials at www.passuneb.com,
141,,
142,,
143,"“How about —‘We had to write an essay about our hero at school, Mr. Mason, and I",
144,wrote about you.’”,
145,This was too much for both Aunt Petunia and Harry. Aunt Petunia burst into tears and,
146,"hugged her son, while Harry ducked under the table so they wouldn’t see him laughing.",
147,"“And you, boy?”",
148,Harry fought to keep his face straight as he emerged.,
149,"“I’ll be in my room, making no noise and pretending I’m not there,” he said.",
150,"“Too right, you will.” said Uncle Vernon forcefully. “The Masons don’t know anything",
151,"about you and it’s going to stay that way. When dinner’s over, you take Mrs. Mason",
152,"back to the lounge for coffee, Petunia, and I’ll bring the subject around to drills. With",
153,"any luck, I’ll have the deal signed and sealed before the news at ten. Be shopping for a",
154,vacation home in Majorca this time tomorrow.”,
155,Harry couldn’t feel too excited about this. He didn’t think the Dursleys would like him,
156,any better in Majorca than they did on Privet Drive.,
157,"“Right — I’m off into town to pick up the dinner jackets for Dudley and me. And you,”",
158,he snarled at Harry. “You stay out of your aunt’s way while she’s cleaning.”,
159,"Harry left through the back door. It was a brilliant, sunny day. He crossed the lawn,",
160,"slumped down on the garden bench, and sang under his breath:",
161,“Happy birthday to me… happy birthday to me…”,
162,"No cards, no presents, and he would be spending the evening pretending not to exist.",
163,He gazed miserably into the hedge. He had never felt so lonely. More than anything else,
164,"at Hogwarts, more even than playing Quidditch, Harry missed his best friends, Ron",
165,"Weasley and Hermione Granger. They, however, didn’t seem to be missing him at all.",
166,"Neither of them had written to him all summer, even though Ron had said he was going",
167,to ask Harry to come and stay.,
168,"Countless times, Harry had been on the point of unlocking Hedwig’s cage by magic and",
169,"sending her to Ron and Hermione with a letter, but it wasn’t worth the risk. Underage",
170,Page 6 of 291,
171,Get free e-books and video tutorials at www.passuneb.com,
172,,
173,,
174,wizards weren’t allowed to use magic outside of school. Harry hadn’t told the Dursleys,
175,this; he knew it was only their terror that he might turn them all into dung beetles that,
176,stopped them from locking him in the cupboard under the stairs with his wand and,
177,"broomstick. For the first couple of weeks back, Harry had enjoyed muttering nonsense",
178,words under his breath and watching Dudley tearing out of the room as fast as his fat,
179,legs would carry him. But the long silence from Ron and Hermione had made Harry feel,
180,so cut off from the magical world that even taunting Dudley had lost its appeal — and,
181,now Ron and Hermione had forgotten his birthday.,
182,What wouldn’t he give now for a message from Hogwarts? From any witch or wizard?,
183,"He’d almost be glad of a sight of his archenemy, Draco Malfoy, just to be sure it hadn’t",
184,all been a dream…,
185,"Not that his whole year at Hogwarts had been fun. At the very end of last term, Harry",
186,had come face-to-face with none other than Lord Voldemort himself. Voldemort might,
187,"be a ruin of his former self, but he was still terrifying, still cunning, still determined t",
188,"regain power. Harry had slipped through Voldemort’s clutches for a second time, but it",
189,"had been a narrow escape, and even now, weeks later, Harry kept waking in the night,",
190,"drenched in cold sweat, wondering where Voldemort was now, remembering his livid",
191,"face, his wide, mad eyes —",
192,Harry suddenly sat bolt upright on the garden bench. He had been staring absent-,
193,mindedly into the hedge — and the hedge was staring back. Two enormous green eyes,
194,had appeared among the leaves.,
195,Harry jumped to his feet just as a jeering voice floated across the lawn.,
196,"“I know what day it is,” sang Dudley, waddling toward him.",
197,The huge eyes blinked and vanished.,
198,"“What?” said Harry, not taking his eyes off the spot where they had been.",
199,"“I know what day it is,” Dudley repeated, coming right up to him.",
200,"“Well done,” said Harry. “So you’ve finally learned the days of the week.”",
201,Page 7 of 291,
202,Get free e-books and video tutorials at www.passuneb.com,
203,,
204,,
205,"“Today’s your birthday,” sneered Dudley. “How come you haven’t got any cards? Haven’t",
206,you even got friends at that freak place?”,
207,"“Better not let your mum hear you talking about my school,” said Harry coolly.",
208,"Dudley hitched up his trousers, which were slipping down his fat bottom.",
209,“Why’re you staring at the hedge?” he said suspiciously.,
210,"“I’m trying to decide what would be the best spell to set it on fire,” said Harry.",
211,"Dudley stumbled backward at once, a look of panic on his fat face.",
212,“You c-can’t — Dad told you you’re not to do m-magic — he said he’ll chuck you out of,
213,the house — and you haven’t got anywhere else to go — you haven’t got any friends to,
214,take you —”,
215,“Jiggery pokery!” said Harry in a fierce voice. “Hocus pocus — squiggly wiggly —”,
216,"“MUUUUUUM!” howled Dudley, tripping over his feet as he dashed back toward the",
217,house. “MUUUUM! He’s doing you know what!”,
218,Harry paid dearly for his moment of fun. As neither Dudley nor the hedge was in any,
219,"way hurt, Aunt Petunia knew he hadn’t really done magic, but he still had to duck as she",
220,aimed a heavy blow at his head with the soapy frying pan. Then she gave him work to,
221,"do, with the promise he wouldn’t eat again until he’d finished.",
222,"While Dudley lolled around watching and eating ice cream, Harry cleaned the windows,",
223,"washed the car, mowed the lawn, trimmed the flowerbeds, pruned and watered the",
224,"roses, and repainted the garden bench. The sun blazed overhead, burning the back of",
225,"his neck. Harry knew he shouldn’t have risen to Dudley’s bait, but Dudley had said the",
226,very thing Harry had been thinking himself… maybe he didn’t have any friends at,
227,Hogwarts…,
228,"Wish they could see famous Harry Potter now, he thought savagely as he spread manure",
229,"on the flower beds, his back aching, sweat running down his face.",
230,Page 8 of 291,
231,Get free e-books and video tutorials at www.passuneb.com,
232,,
233,,
234,"It was half past seven in the evening when at last, exhausted, he heard Aunt Petunia",
235,calling him.,
236,“Get in here! And walk on the newspaper!”,
237,Harry moved gladly into the shade of the gleaming kitchen. On top of the fridge stood,
238,tonight’s pudding: a huge mound of whipped cream and sugared violets. A loin of roast,
239,pork was sizzling in the oven.,
240,"“Eat quickly! The Masons will be here soon!” snapped Aunt Petunia, pointing to two",
241,slices of bread and a lump of cheese on the kitchen table. She was already wearing a,
242,salmon-pink cocktail dress.,
243,Harry washed his hands and bolted down his pitiful supper. The moment he had,
244,"finished, Aunt Petunia whisked away his plate. “Upstairs! Hurry!”",
245,"As he passed the door to the living room, Harry caught a glimpse of Uncle Vernon and",
246,Dudley in bow ties and dinner jackets. He had only just reached the upstairs landing,
247,when the door bell rang and Uncle Vernon’s furious face appeared at the foot of the,
248,stairs.,
249,"“Remember, boy — one sound —”",
250,"Harry crossed to his bedroom on tiptoe slipped inside, closed the door, and turned to",
251,"collapse on his bed. The trouble was, there was already someone sitting on it.",
252,Page 9 of 291,
253,Get free e-books and video tutorials at www.passuneb.com,
254,,
255,,
256,CHAPTER TWO,
257,Dobby’s Warning,
258,"Harry managed not to shout out, but it was a close thing. The little creature on the bed",
259,"had large, bat-like ears and bulging green eyes the size of tennis balls. Harry knew",
260,instantly that this was what had been watching him out of the garden hedge that,
261,morning.,
262,"As they stared at each other, Harry heard Dudley’s voice from the hall.",
263,"“May I take your coats, Mr. and Mrs. Mason?”",
264,"The creature slipped off the bed and bowed so low that the end of its long, thin nose",
265,"touched the carpet. Harry noticed that it was wearing what looked like an old pillowcase,",
266,with rips for arm- and leg-holes.,
267,"“Er — hello,” said Harry nervously.",
268,“Harry Potter!” said the creature in a high-pitched voice Harry was sure would carry,
269,"down the stairs. “So long has Dobby wanted to meet you, sir… Such an honor it is…”",
270,"“Th-thank you,” said Harry, edging along the wall and sinking into his desk chair, next to",
271,"Hedwig, who was asleep in her large cage. He wanted to ask, “What are you?” but",
272,"thought it would sound too rude, so instead he said, “Who are you?”",
273,"“Dobby, sir. Just Dobby. Dobby the house-elf,” said the creature.",
274,"“Oh — really?” said Harry. “Er — I don’t want to be rude or anything, but — this isn’t a",
275,great time for me to have a house-elf in my bedroom.”,
276,"Aunt Petunias high, false laugh sounded from the living room. The elf hung his head.",
277,Page 10 of 291,
278,Get free e-books and video tutorials at www.passuneb.com,
279,,
280,,
281,"“Not that I’m not pleased to meet you,” said Harry quickly, “but, er, is there any",
282,particular reason you’re here?”,
283,"“Oh, yes, sir,” said Dobby earnestly. “Dobby has come to tell you, sir… it is difficult, sir",
284,Dobby wonders where to begin…”,
285,"“Sit down,” said Harry politely, pointing at the bed.",
286,"To his horror, the elf burst into tears — very noisy tears.",
287,“S-sit down!” he wailed. “Never… never ever…”,
288,Harry thought he heard the voices downstairs falter.,
289,"“I’m sorry,” he whispered, “I didn’t mean to offend you or anything —”",
290,“Offend Dobby!” choked the elf. “Dobby has never been asked to sit down by a wizard,
291,— like an equal —”,
292,"Harry, trying to say “Shh!” and look comforting at the same time, ushered Dobby back",
293,"onto the bed where he sat hiccoughing, looking like a large and very ugly doll. At last he",
294,"managed to control himself, and sat with his great eyes fixed on Harry in an expression",
295,of watery adoration.,
296,"“You can’t have met many decent wizards,” said Harry, trying to cheer him up.",
297,"Dobby shook his head. Then, without warning, he leapt up and started banging his head",
298,"furiously on the window, shouting, “Bad Dobby! Bad Dobby!”",
299,"“Don’t — what are you doing?” Harry hissed, springing up and pulling Dobby back onto",
300,the bed — Hedwig had woken up with a particularly loud screech and was beating her,
301,wings wildly against the bars of her cage.,
302,"“Dobby had to punish himself, sir,” said the elf, who had gone slightly cross-eyed.",
303,"“Dobby almost spoke ill of his family, sir…”",
304,“Your family?”,
305,Page 11 of 291,
306,Get free e-books and video tutorials at www.passuneb.com,
307,,
308,,
309,"“The wizard family Dobby serves, sir… Dobby is a house-elf — bound to serve one",
310,house and one family forever…”,
311,“Do they know you’re here?” asked Harry curiously.,
312,Dobby shuddered.,
313,"“Oh, no, sir, no… Dobby will have to punish himself most grievously for coming to see",
314,"you, sir. Dobby will have to shut his ears in the oven door for this. If they ever knew,",ir
315,—”,
316,“But won’t they notice if you shut your ears in the oven door?”,
317,"“Dobby doubts it, sir. Dobby is always having to punish himself for something, sir. They",
318,"lets Dobby get on with it, sir. Sometimes they reminds me to do extra punishments…”",
319,“But why don’t you leave? Escape?”,
320,"“A house-elf must be set free, sir. And the family will never set Dobby free… Dobby will",
321,"serve the family until he dies, sir…”",
322,Harry stared.,
323,"“And I thought I had it bad staying here for another four weeks,” he said. “This makes",
324,the Dursleys sound almost human. Can’t anyone help you? Can’t I?”,
325,"Almost at once, Harry wished he hadn’t spoken. Dobby dissolved again into wails of",
326,gratitude.,
327,"“Please,” Harry whispered frantically, “please be quiet. If the Dursleys hear anything,",f
328,they know you’re here —”,
329,"“Harry Potter asks if he can help Dobby… Dobby has heard of your greatness, sir, but of",
330,"your goodness, Dobby never knew…”",
331,Page 12 of 291,
332,Get free e-books and video tutorials at www.passuneb.com,
333,,
334,,
335,"Harry, who was feeling distinctly hot in the face, said, “Whatever you’ve heard about my",
336,"greatness is a load of rubbish. I’m not even top of my year at Hogwarts; that’s Hermione,",
337,she —”,
338,"But he stopped quickly, because thinking about Hermione was painful.",
339,"“Harry Potter is humble and modest,” said Dobby reverently, his orb-like eyes aglow.",
340,“Harry Potter speaks not of his triumph over He-Who-Must-Not-Be-Named —”,
341,“Voldemort?” said Harry.,
342,"Dobby clapped his hands over his bat ears and moaned, “Ah, speak not the name, sir!",
343,Speak not the name!”,
344,"“Sorry,” said Harry quickly. “I know lots of people don’t like it. My friend Ron —”",
345,"He stopped again. Thinking about Ron was painful, too.",
346,"Dobby leaned toward Harry, his eyes wide as headlights.",
347,"“Dobby heard tell,” he said hoarsely, “that Harry Potter met the Dark Lord for a second",
348,time just weeks ago… that Harry Potter escaped yet again.”,
349,Harry nodded and Dobby’s eyes suddenly shone with tears.,
350,"“Ah, sir,” he gasped, dabbing his face with a corner of the grubby pillowcase he was",
351,wearing. “Harry Potter is valiant and bold! He has braved so many dangers already! But,
352,"Dobby has come to protect Harry Potter, to warn him, even if he does have to shut his",
353,ears in the oven door later… Harry Potter must not go back to Hogwarts.”,
354,There was a silence broken only by the chink of knives and forks from downstairs and,
355,the distant rumble of Uncle Vernon’s voice.,
356,“W-what?” Harry stammered. “But I’ve got to go back — term starts on September first.,
357,It’s all that’s keeping me going. You don’t know what it’s like here. I don’t belong here. I,
358,belong in your world — at Hogwarts.”,
359,Page 13 of 291,
360,Get free e-books and video tutorials at www.passuneb.com,
361,,
362,,
363,"“No, no, no,” squeaked Dobby, shaking his head so hard his ears flapped. “Harry Potter",
364,"must stay where he is safe. He is too great, too good, to lose. If Harry Potter goes back",
365,"to Hogwarts, he will be in mortal danger.”",
366,“Why?” said Harry in surprise.,
367,"“There is a plot, Harry Potter. A plot to make most terrible things happen at Hogwarts",
368,"School of Witchcraft and Wizardry this year,” whispered Dobby, suddenly trembling all",
369,"over. “Dobby has known it for months, sir. Harry Potter must not put himself in peril. He",
370,"is too important, sir!”",
371,“What terrible things?” said Harry at once. “Who’s plotting them?”,
372,Dobby made a funny choking noise and then banged his head frantically against the,
373,wall.,
374,"“All right!” cried Harry, grabbing the elf’s arm to stop him. “You can’t tell me. I",
375,"understand. But why are you warning me?” A sudden, unpleasant thought struck him.",
376,"“Hang on — this hasn’t got anything to do with Vol — sorry — with You-Know-Who,",
377,"has it? You could just shake or nod,” he added hastily as Dobby’s head tilted worryingly",
378,close to the wall again.,
379,"Slowly, Dobby shook his head.",
380,"“Not — not He-Who-Must-Not-Be-Named, sir —”",
381,"But Dobby’s eyes were wide and he seemed to be trying to give Harry a hint. Harry,",
382,"however, was completely lost.",
383,"“He hasn’t got a brother, has he?”",
384,"Dobby shook his head, his eyes wider than ever.",
385,"“Well then, I can’t think who else would have a chance of making horrible things happen",
386,at,
387,"Hogwarts,” said Harry. “I mean, there’s Dumbledore, for one thing — you know who",
388,"Dumbledore is, don’t you?”",
389,Page 14 of 291,
390,Get free e-books and video tutorials at www.passuneb.com,
391,,
392,,
393,Dobby bowed his head.,
394,"“Albus Dumbledore is the greatest headmaster Hogwarts has ever had. Dobby knows it,",
395,sir. Dobby has heard Dumbledore’s powers rival those of He-Who-Must-Not-Be-Named,
396,"at the height of his strength. But, sir” — Dobby’s voice dropped to an urgent whisper —",
397,“there are powers Dumbledore doesn’t… powers no decent wizard…”,
398,"And before Harry could stop him, Dobby bounded off the bed, seized Harry’s desk",
399,"lamp, and started beating himself around the head with earsplitting yelps.",
400,"A sudden silence fell downstairs. Two seconds later Harry, heart thudding madly, heard",
401,Uncle,
402,"Vernon coming into the hall, calling, “Dudley must have left his television on again, the",
403,little,
404,tyke!”,
405,"“Quick! In the closet!” hissed Harry, stuffing Dobby in, shutting the door, and flinging",
406,himself onto the bed just as the door handle turned.,
407,"“What — the —devil — are — you — doing?” said Uncle Vernon through gritted teeth,",
408,his face horribly close to Harry’s. “You’ve just ruined the punch line of my Japanese,
409,"golfer joke… One more sound and you’ll wish you’d never been born, boy!”",
410,He stomped flat-footed from the room.,
411,"Shaking, Harry let Dobby out of the closet.",
412,“See what it’s like here?” he said. “See why I’ve got to go back to Hogwarts? It’s the on,y
413,"place I’ve got — well, I think I’ve got friends.”",
414,“Friends who don’t even write to Harry Potter?” said Dobby slyly.,
415,"“I expect they’ve just been — wait a minute,” said Harry, frowning. “How do you know",
416,my friends haven’t been writing to me?”,
417,Dobby shuffled his feet.,
418,Page 15 of 291,
419,Get free e-books and video tutorials at www.passuneb.com,
420,,
421,,
422,“Harry Potter mustn’t be angry with Dobby. Dobby did it for the best —”,
423,“Have you been stopping my letters?”,
424,"“Dobby has them here, sir,” said the elf. Stepping nimbly out of Harry’s reach, he pulled",
425,a thick wad of envelopes from the inside of the pillowcase he was wearing. Harry could,
426,"make out Hermione’s neat writing, Ron’s untidy scrawl, and even a scribble that looked",
427,"as though it was from the Hogwarts gamekeeper, Hagrid.",
428,Dobby blinked anxiously up at Harry.,
429,“Harry Potter mustn’t be angry… Dobby hoped… if Harry Potter thought his friends had,
430,"forgotten him… Harry Potter might not want to go back to school, sir…”",
431,"Harry wasn’t listening. He made a grab for the letters, but Dobby jumped out of reach.",
432,"“Harry Potter will have them, sir, if he gives Dobby his word that he will not return to",
433,"Hogwarts. Ah, sir, this is a danger you must not face! Say you won’t go back, sir!”",
434,"“No,” said Harry angrily. “Give me my friends’ letters!”",
435,"“Then Harry Potter leaves Dobby no choice,” said the elf sadly.",
436,"Before Harry could move, Dobby had darted to the bedroom door, pulled it open, and",
437,sprinted down the stairs.,
438,"Mouth dry, stomach lurching, Harry sprang after him, trying not to make a sound. He",
439,"jumped the last six steps, landing catlike on the hall carpet, looking around for Dobby.",
440,"From the dining room he heard Uncle Vernon saying, “… tell Petunia that very funny",
441,"story about those American plumbers, Mr. Mason. She’s been dying to hear…”",
442,Harry ran up the hall into the kitchen and felt his stomach disappear.,
443,"Aunt Petunia’s masterpiece of a pudding, the mountain of cream and sugared violets,",
444,was floating up near the ceiling. On top of a cupboard in the corner crouched Dobby.,
445,"“No,” croaked Harry. “Please… they’ll kill me…”",
446,Page 16 of 291,
447,Get free e-books and video tutorials at www.passuneb.com,
448,,
449,,
450,“Harry Potter must say he’s not going back to school —”,
451,“Dobby… please…”,
452,"“Say it, sir —”",
453,“I can’t —”,
454,Dobby gave him a tragic look.,
455,"“Then Dobby must do it, sir, for Harry Potter’s own good.”",
456,The pudding fell to the floor with a heart-stopping crash. Cream splattered the windows,
457,"and walls as the dish shattered. With a crack like a whip, Dobby vanished.",
458,There were screams from the dining room and Uncle Vernon burst into the kitchen to,
459,"find Harry, rigid with shock, covered from head to foot in Aunt Petunia’s pudding.",
460,"At first, it looked as though Uncle Vernon would manage to gloss the whole thing over.",
461,"(“Just our nephew —very disturbed — meeting strangers upsets him, so we kept him",
462,"upstairs…”) He shooed the shocked Masons back into the dining room, promised Harry",
463,"he would flay him to within an inch of his life when the Masons had left, and handed",
464,"him a mop. Aunt Petunia dug some ice cream out of the freezer and Harry, still shaking,",
465,started scrubbing the kitchen clean.,
466,Uncle Vernon might still have been able to make his deal — if it hadn’t been for the owl.,
467,Aunt Petunia was just passing around a box of after-dinner mints when a huge barn owl,
468,"swooped through the dining room window, dropped a letter on Mrs. Mason’s head, and",
469,swooped out again. Mrs. Mason screamed like a banshee and ran from the house,
470,shouting about lunatics. Mr. Mason stayed just long enough to tell the Dursleys that his,
471,"wife was mortally afraid of birds of all shapes and sizes, and to ask whether this was",
472,their idea of a joke.,
473,"Harry stood in the kitchen, clutching the mop for support, as Uncle Vernon advanced on",
474,"him, a demonic glint in his tiny eyes.",
475,Page 17 of 291,
476,Get free e-books and video tutorials at www.passuneb.com,
477,,
478,,
479,"“Read it!” he hissed evilly, brandishing the letter the owl had delivered. “Go on — rea",
480,it!”,
481,Harry took it. It did not contain birthday greetings.,
482,"Dear Mr. Potter,",
483,We have received intelligence that a Hover Charm was used at your place of residence th,s
484,evening at twelve minutes past nine.,
485,"As you know, underage wizards are not permitted to perform spells outside school, and",
486,further spellwork on your part may lead to expulsion from said school. (Decree for the,
487,"Reasonable Restriction of Underage Sorcery, 1875, Paragraph C).",
488,We would also ask you to remember that any magical activity that risks notice by,
489,members of the non magical community (Muggles) is a serious offense under section 13 of,
490,the International Confederation of Warlocks’ Statute of Secrecy.,
491,Enjoy your holidays!,
492,"Yours sincerely,",
493,Mafalda Hopkirk,
494,IMPROPER USE OF MAGIC OFFICE,
495,Ministry of Magic,
496,Harry looked up from the letter and gulped.,
497,"“You didn’t tell us you weren’t allowed to use magic outside school,” said Uncle Vernon",
498,"a mad gleam dancing in his eyes. “Forgot to mention it… Slipped your mind, I daresay…”",
499,"He was bearing down on Harry like a great bulldog, all his teeth bared. “Well, I’ve got",
500,"news for you, boy… I’m locking you up… You’re never going back to that school…",
501,never… and if you try and magic yourself out — they’ll expel you!”,
502,Page 18 of 291,
503,Get free e-books and video tutorials at www.passuneb.com,
504,,
505,,
506,"And laughing like a maniac, he dragged Harry back upstairs.",
507,"Uncle Vernon was as bad as his word. The following morning, he paid a man to fit bars",
508,"on Harry’s window. He himself fitted a cat-flap in the bedroom door, so that small",
509,amounts of food could be pushed inside three times a day. They let Harry out to use the,
510,"bathroom morning and evening. Otherwise, he was locked in his room around the clock.",
511,"Three days later, the Dursleys were showing no sign of relenting, and Harry couldn’t see",
512,any way out of his situation. He lay on his bed watching the sun sinking behind the bars,
513,on the window and wondered miserably what was going to happen to him.,
514,What was the good of magicking himself out of his room if Hogwarts would expel him,
515,for doing it? Yet life at Privet Drive had reached an all-time low. Now that the Dursleys,
516,"knew they weren’t going to wake up as fruit bats, he had lost his only weapon. Dobby",
517,"might have saved Harry from horrible happenings at Hogwarts, but the way things were",
518,"going, he’d probably starve to death anyway.",
519,"The cat-flap rattled and Aunt Petunias hand appeared, pushing a bowl of canned soup",
520,"into the room. Harry, whose insides were aching with hunger, jumped off his bed and",
521,"seized it. The soup was stone-cold, but he drank half of it in one gulp. Then he crossed",
