,Harry Potter
235,"A loud, echoing crack broke the sleepy silence like a gunshot; a cat"
236,"streaked out from under a parked car and flew out of sight; a shriek, a"
237,"bellowed oath, and the sound of breaking china came from the Durs-"
238,"leys’ living room, and as though Harry had been waiting for this"
239,"signal, he jumped to his feet, at the same time pulling from the waist-"
240,band of his jeans a thin wooden wand as if he were unsheathing a
241,"sword. But before he could draw himself up to full height, the top of"
242,"his head collided with the Dursleys’ open window, and the resultant"
243,crash made Aunt Petunia scream even louder.
244,"Harry felt as if his head had been split in two; eyes streaming, he"
245,"swayed, trying to focus on the street and spot the source of the noise,"
246,but he had barely staggered upright again when two large purple
247,hands reached through the open window and closed tightly around
248,his throat.
249, 4  
250,DUDLEY DEMENTED
251,“Put — it — away!” Uncle Vernon snarled into Harry’s ear. “Now!
252,Before — anyone — sees!”
253,“Get — off — me!” Harry gasped; for a few seconds they strug-
254,"gled, Harry pulling at his uncle’s sausage-like fingers with his left"
255,"hand, his right maintaining a firm grip on his raised wand. Then, as"
256,"the pain in the top of Harry’s head gave a particularly nasty throb, Un-"
257,cle Vernon yelped and released Harry as though he had received an
258,electric shock — some invisible force seemed to have surged through
259,"his nephew, making him impossible to hold."
260,"Panting, Harry fell forward over the hydrangea bush, straightened"
261,"up, and stared around. There was no sign of what had caused the loud"
262,"cracking noise, but there were several faces peering through various"
263,nearby windows. Harry stuffed his wand hastily back into his jeans
264,and tried to look innocent.
265,"“Lovely evening!” shouted Uncle Vernon, waving at Mrs. Number"
266,"Seven, who was glaring from behind her net curtains. “Did you hear"
267,that car backfire just now? Gave Petunia and me quite a turn!”
268,"He continued to grin in a horrible, manic way until all the curious"
269,"neighbors had disappeared from their various windows, then the grin"
270,became a grimace of rage as he beckoned Harry back toward him.
271,"Harry moved a few steps closer, taking care to stop just short of the"
272,point at which Uncle Vernon’s outstretched hands could resume their
273,strangling.
274,"“What the devil do you mean by it, boy?” asked Uncle Vernon in a"
275,croaky voice that trembled with fury.
276,“What do I mean by what?” said Harry coldly. He kept looking left
277,"and right up the street, still hoping to see the person who had made"
278,the cracking noise.
279,“Making a racket like a starting pistol right outside our —”
280,"“I didn’t make that noise,” said Harry firmly."
281,"Aunt Petunia’s thin, horsey face now appeared beside Uncle Ver-"
282,"non’s wide, purple one. She looked livid."
283,  5 
284,CHAPTER ONE
285,“Why were you lurking under our window?”
286,"“Yes — yes, good point, Petunia! What were you doing under our"
287,"window, boy?”"
288,"“Listening to the news,” said Harry in a resigned voice."
289,His aunt and uncle exchanged looks of outrage.
290,“Listening to the news! Again?”
291,"“Well, it changes every day, you see,” said Harry."
292,"“Don’t you be clever with me, boy! I want to know what you’re re-"
293,ally up to — and don’t give me any more of this listening to the news
294,tosh! You know perfectly well that your lot . . .”
295,"“Careful, Vernon!” breathed Aunt Petunia, and Uncle Vernon low-"
296,"ered his voice so that Harry could barely hear him, “. . . that your lot"
297,don’t get on our news!”
298,"“That’s all you know,” said Harry."
299,"The Dursleys goggled at him for a few seconds, then Aunt Petunia"
300,"said, “You’re a nasty little liar. What are all those —” she too lowered"
301,"her voice so that Harry had to lip-read the next word, “— owls —"
302,doing if they’re not bringing you news?”
303,“Aha!” said Uncle Vernon in a triumphant whisper. “Get out of that
304,"one, boy! As if we didn’t know you get all your news from those pesti-"
305,lential birds!”
306,Harry hesitated for a moment. It cost him something to tell the
307,"truth this time, even though his aunt and uncle could not possibly"
308,know how bad Harry felt at admitting it.
309,"“The owls . . . aren’t bringing me news,” said Harry tonelessly."
310,"“I don’t believe it,” said Aunt Petunia at once."
311,"“No more do I,” said Uncle Vernon forcefully."
312,"“We know you’re up to something funny,” said Aunt Petunia."
313,"“We’re not stupid, you know,” said Uncle Vernon."
314,"“Well, that’s news to me,” said Harry, his temper rising, and before"
315,"the Dursleys could call him back, he had wheeled about, crossed the"
316, 6 
317,DUDLEY DEMENTED
318,"front lawn, stepped over the low garden wall, and was striding off up"
319,the street.
320,He was in trouble now and he knew it. He would have to face his
321,"aunt and uncle later and pay the price for his rudeness, but he did not"
322,care very much just at the moment; he had much more pressing mat-
323,ters on his mind.
324,Harry was sure that the cracking noise had been made by someone
325,Apparating or Disapparating. It was exactly the sound Dobby the
326,house-elf made when he vanished into thin air. Was it possible that
327,Dobby was here in Privet Drive? Could Dobby be following him right
328,at this very moment? As this thought occurred he wheeled around and
329,"stared back down Privet Drive, but it appeared to be completely de-"
330,serted again and Harry was sure that Dobby did not know how to
331,become invisible. . . .
332,"He walked on, hardly aware of the route he was taking, for he had"
333,pounded these streets so often lately that his feet carried him to his fa-
334,vorite haunts automatically. Every few steps he glanced back over his
335,shoulder. Someone magical had been near him as he lay among Aunt
336,"Petunias dying begonias, he was sure of it. Why hadn’t they spoken to"
337,"him, why hadn’t they made contact, why were they hiding now?"
338,"And then, as his feeling of frustration peaked, his certainty leaked"
339,away.
340,Perhaps it hadn’t been a magical sound after all. Perhaps he was so
341,desperate for the tiniest sign of contact from the world to which he
342,belonged that he was simply overreacting to perfectly ordinary noises.
343,Could he be sure it hadn’t been the sound of something breaking in-
344,side a neighbor’s house?
345,"Harry felt a dull, sinking sensation in his stomach and, before he"
346,"knew it, the feeling of hopelessness that had plagued him all summer"
347,rolled over him once again. . . .
348,Tomorrow morning he would be awoken by the alarm at five
349, 7 
350,CHAPTER ONE
351,o’clock so that he could pay the owl that delivered the Daily
352,Prophet — but was there any point in continuing to take it? Harry
353,merely glanced at the front page before throwing it aside these days;
354,when the idiots who ran the paper finally realized that Voldemort was
355,"back it would be headline news, and that was the only kind Harry"
356,cared about.
357,"If he was lucky, there would also be owls carrying letters from his"
358,"best friends, Ron and Hermione, though any expectation he had had"
359,that their letters would bring him news had long since been dashed.
360,"“We can’t say much about you-know-what, obviously. . . .” “We’ve been"
361,told not to say anything important in case our letters go astray. . . .”
362,“We’re quite busy but I can’t give you details here. . . .” “There’s a fair
363,"amount going on, we’ll tell you everything when we see you. . . .”"
364,But when were they going to see him? Nobody seemed too both-
365,"ered with a precise date. Hermione had scribbled, “I expect we’ll be see-"
366,"ing you quite soon” inside his birthday card, but how soon was soon? As"
367,"far as Harry could tell from the vague hints in their letters, Hermione"
368,"and Ron were in the same place, presumably at Ron’s parents’ house."
369,He could hardly bear to think of the pair of them having fun at the
370,"Burrow when he was stuck in Privet Drive. In fact, he was so angry at"
371,them that he had thrown both their birthday presents of Honeydukes
372,"chocolates away unopened, though he had regretted this after eating"
373,the wilting salad Aunt Petunia had provided for dinner that night.
374,"And what were Ron and Hermione busy with? Why wasn’t he,"
375,"Harry, busy? Hadn’t he proved himself capable of handling much"
376,more than they? Had they all forgotten what he had done? Hadn’t it
377,been he who had entered that graveyard and watched Cedric being
378,murdered and been tied to that tombstone and nearly killed . . . ?
379,"Don’t think about that, Harry told himself sternly for the hundredth"
380,time that summer. It was bad enough that he kept revisiting the grave-
381,"yard in his nightmares, without dwelling on it in his waking moments"
382,too.
383, 8 
384,DUDLEY DEMENTED
385,He turned a corner into Magnolia Crescent; halfway along he
386,passed the narrow alleyway down the side of a garage where he had
387,"first clapped eyes on his godfather. Sirius, at least, seemed to under-"
388,stand how Harry was feeling; admittedly his letters were just as empty
389,"of proper news as Ron and Hermione’s, but at least they contained"
390,words of caution and consolation instead of tantalizing hints:
391,“I know this must be frustrating for you. . . .” “Keep your nose clean
392,and everything will be okay. . . .” “Be careful and don’t do anything
393,rash. . . .”
394,"Well, thought Harry, as he crossed Magnolia Crescent, turned into"
395,"Magnolia Road, and headed toward the darkening play park, he had"
396,(by and large) done as Sirius advised; he had at least resisted the temp-
397,tation to tie his trunk to his broomstick and set off for the Burrow
398,by himself. In fact Harry thought his behavior had been very good
399,considering how frustrated and angry he felt at being stuck in Privet
400,"Drive this long, reduced to hiding in flower beds in the hope of hear-"
401,ing something that might point to what Lord Voldemort was doing.
402,"Nevertheless, it was quite galling to be told not to be rash by a man"
403,"who had served twelve years in the wizard prison, Azkaban, escaped,"
404,attempted to commit the murder he had been convicted for in the
405,"first place, then gone on the run with a stolen hippogriff. . . ."
406,Harry vaulted over the locked park gate and set off across the
407,parched grass. The park was as empty as the surrounding streets.
408,When he reached the swings he sank onto the only one that Dudley
409,"and his friends had not yet managed to break, coiled one arm around"
410,"the chain, and stared moodily at the ground. He would not be able to"
411,hide in the Dursleys’ flower bed again. Tomorrow he would have to
412,"think of some fresh way of listening to the news. In the meantime, he"
413,"had nothing to look forward to but another restless, disturbed night,"
414,because even when he escaped nightmares about Cedric he had unset-
415,"tling dreams about long dark corridors, all finishing in dead ends and"
416,"locked doors, which he supposed had something to do with the"
417, 9  
418,CHAPTER ONE
419,trapped feeling he had when he was awake. Often the old scar on his
420,"forehead prickled uncomfortably, but he did not fool himself that"
421,Ron or Hermione or Sirius would find that very interesting any-
422,more. . . . In the past his scar hurting had warned that Voldemort was
423,"getting stronger again, but now that Voldemort was back they would"
424,probably remind him that its regular irritation was only to be ex-
425,pected. . . . Nothing to worry about . . . old news . . .
426,The injustice of it all welled up inside him so that he wanted to yell
427,"with fury. If it hadn’t been for him, nobody would even have known"
428,Voldemort was back! And his reward was to be stuck in Little Whing-
429,"ing for four solid weeks, completely cut off from the magical world,"
430,reduced to squatting among dying begonias so that he could hear
431,about water-skiing budgerigars! How could Dumbledore have forgot-
432,ten him so easily? Why had Ron and Hermione got together without
433,inviting him along too? How much longer was he supposed to endure
434,Sirius telling him to sit tight and be a good boy; or resist the tempta-
435,tion to write to the stupid Daily Prophet and point out that Volde-
436,mort had returned? These furious thoughts whirled around in Harry’s
437,"head, and his insides writhed with anger as a sultry, velvety night fell"
438,"around him, the air full of the smell of warm, dry grass and the only"
439,sound that of the low grumble of traffic on the road beyond the park
440,railings.
441,He did not know how long he had sat on the swing before the
442,sound of voices interrupted his musings and he looked up. The street-
443,lamps from the surrounding roads were casting a misty glow strong
444,enough to silhouette a group of people making their way across the
445,"park. One of them was singing a loud, crude song. The others were"
446,laughing. A soft ticking noise came from several expensive racing
447,bikes that they were wheeling along.
448,Harry knew who those people were. The figure in front was unmis-
449,"takably his cousin, Dudley Dursley, wending his way home, accom-"
450,panied by his faithful gang.
451, 10  
452,DUDLEY DEMENTED
453,"Dudley was as vast as ever, but a year’s hard dieting and the discov-"
454,ery of a new talent had wrought quite a change in his physique. As
455,"Uncle Vernon delightedly told anyone who would listen, Dudley had"
456,recently become the Junior Heavyweight Inter-School Boxing Cham-
457,"pion of the Southeast. “The noble sport,” as Uncle Vernon called it,"
458,had made Dudley even more formidable than he had seemed to Harry
459,in the primary school days when he had served as Dudley’s first
460,punching bag. Harry was not remotely afraid of his cousin anymore
461,but he still didn’t think that Dudley learning to punch harder and
462,more accurately was cause for celebration. Neighborhood children all
463,around were terrified of him — even more terrified than they were of
464,"“that Potter boy,” who, they had been warned, was a hardened hooli-"
465,gan who attended St. Brutus’s Secure Center for Incurably Criminal
466,Boys.
467,Harry watched the dark figures crossing the grass and wondered
468,"whom they had been beating up tonight. Look round, Harry found"
469,himself thinking as he watched them. Come on . . . look round . . . I’m
470,sitting here all alone. . . . Come and have ago. . . .
471,"If Dudley’s friends saw him sitting here, they would be sure to"
472,"make a beeline for him, and what would Dudley do then? He"
473,"wouldn’t want to lose face in front of the gang, but he’d be terrified of"
474,provoking Harry. . . . It would be really fun to watch Dudley’s
475,"dilemma; to taunt him, watch him, with him powerless to respond"
476,". . . and if any of the others tried hitting Harry, Harry was ready — he"
477,had his wand . . . let them try . . . He’d love to vent some of his frus-
478,tration on the boys who had once made his life hell —
479,"But they did not turn around, they did not see him, they were al-"
480,most at the railings. Harry mastered the impulse to call after them.
481,. . . Seeking a fight was not a smart move. . . . He must not use
482,magic. . . . He would be risking expulsion again. . . .
483,"Dudley’s gang’s voices died; they were out of sight, heading along"
484,Magnolia Road.
485, 11   
486,CHAPTER ONE
487,"There you go, Sirius, Harry thought dully. Nothing rash. Kept my"
488,nose clean. Exactly the opposite of what you’d have done . . .
489,He got to his feet and stretched. Aunt Petunia and Uncle Vernon
490,seemed to feel that whenever Dudley turned up was the right time to
491,"be home, and anytime after that was much too late. Uncle Vernon had"
492,threatened to lock Harry in the shed if he came home after Dudley
493,"again, so, stifling a yawn, still scowling, Harry set off toward the park"
494,gate.
495,"Magnolia Road, like Privet Drive, was full of large, square houses"
496,"with perfectly manicured lawns, all owned by large, square owners"
497,who drove very clean cars similar to Uncle Vernon’s. Harry preferred
498,"Little Whinging by night, when the curtained windows made patches"
499,of jewel-bright colors in the darkness and he ran no danger of hearing
500,disapproving mutters about his “delinquent” appearance when he
501,"passed the householders. He walked quickly, so that halfway along"
502,Magnolia Road Dudley’s gang came into view again; they were saying
503,their farewells at the entrance to Magnolia Crescent. Harry stepped
504,into the shadow of a large lilac tree and waited.
505,"“. . . squealed like a pig, didn’t he?” Malcolm was saying, to guffaws"
506,from the others.
507,"“Nice right hook, Big D,” said Piers."
508,“Same time tomorrow?” said Dudley.
509,"“Round at my place, my parents are out,” said Gordon."
510,"“See you then,” said Dudley."
511,“Bye Dud!”
512,"“See ya, Big D!”"
513,Harry waited for the rest of the gang to move on before setting off
514,again. When their voices had faded once more he headed around the
515,corner into Magnolia Crescent and by walking very quickly he soon
516,"came within hailing distance of Dudley, who was strolling along at his"
517,"ease, humming tunelessly."
518,"“Hey, Big D!”"
519, 12  
520,DUDLEY DEMENTED
521,Dudley turned.
522,"“Oh,” he grunted. “It’s you.”"
523,“How long have you been ‘Big D’ then?” said Harry.
524,"“Shut it,” snarled Dudley, turning away again."
525,"“Cool name,” said Harry, grinning and falling into step beside his"
526,cousin. “But you’ll always be Ickle Diddykins to me.”
527,"“I said, SHUT IT!” said Dudley, whose ham-like hands had curled"
528,into fists.
529,“Don’t the boys know that’s what your mum calls you?”
530,“Shut your face.”
531,“You don’t tell her to shut her face. What about ‘popkin’ and
532,"‘Dinky Diddydums,’ can I use them then?”"
533,Dudley said nothing. The effort of keeping himself from hitting
534,Harry seemed to be demanding all his self-control.
535,"“So who’ve you been beating up tonight?” Harry asked, his grin"
536,fading. “Another ten-year-old? I know you did Mark Evans two nights
537,ago —”
538,"“He was asking for it,” snarled Dudley."
539,“Oh yeah?”
540,“He cheeked me.”
541,“Yeah? Did he say you look like a pig that’s been taught to walk on
542,"its hind legs? ’Cause that’s not cheek, Dud, that’s true . . .”"
543,A muscle was twitching in Dudley’s jaw. It gave Harry enormous
544,satisfaction to know how furious he was making Dudley; he felt as
545,"though he was siphoning off his own frustration into his cousin, the"
546,only outlet he had.
547,They turned right down the narrow alleyway where Harry had
548,first seen Sirius and which formed a shortcut between Magnolia
549,Crescent and Wisteria Walk. It was empty and much darker than the
550,streets it linked because there were no streetlamps. Their footsteps
551,were muffled between garage walls on one side and a high fence on
552,the other.
553, 13  
554,CHAPTER ONE
555,"“Think you’re a big man carrying that thing, don’t you?” Dudley"
556,said after a few seconds.
557,“What thing?”
558,“That — that thing you’re hiding.”
559,Harry grinned again.
560,"“Not as stupid as you look, are you, Dud? But I s’pose if you were,"
561,you wouldn’t be able to walk and talk at the same time. . . .”
562,Harry pulled out his wand. He saw Dudley look sideways at it.
563,"“You’re not allowed,” Dudley said at once. “I know you’re not."
564,You’d get expelled from that freak school you go to.”
565,"“How d’you know they haven’t changed the rules, Big D?”"
566,"“They haven’t,” said Dudley, though he didn’t sound completely"
567,convinced. Harry laughed softly.
568,"“You haven’t got the guts to take me on without that thing, have"
569,you?” Dudley snarled.
570,“Whereas you just need four mates behind you before you can beat
571,up a ten-year-old. You know that boxing title you keep banging on
572,about? How old was your opponent? Seven? Eight?”
573,"“He was sixteen for your information,” snarled Dudley, “and he was"
574,out cold for twenty minutes after I’d finished with him and he was
575,twice as heavy as you. You just wait till I tell Dad you had that thing
576,out —”
577,"“Running to Daddy now, are you? Is his ickle boxing champ fright-"
578,ened of nasty Harry’s wand?”
579,"“Not this brave at night, are you?” sneered Dudley."
580,"“This is night, Diddykins. That’s what we call it when it goes all"
581,dark like this.”
582,“I mean when you’re in bed!” Dudley snarled.
583,"He had stopped walking. Harry stopped too, staring at his cousin."
584,"From the little he could see of Dudley’s large face, he was wearing a"
585,strangely triumphant look.
586,"“What d’you mean, I’m not brave in bed?” said Harry, completely"
587, 14  
588,DUDLEY DEMENTED
589,nonplussed. “What — am I supposed to be frightened of pillows or
590,something?”
591,"“I heard you last night,” said Dudley breathlessly. “Talking in your"
592,sleep. Moaning.”
593,"“What d’you mean?” Harry said again, but there was a cold, plung-"
594,ing sensation in his stomach. He had revisited the graveyard last night
595,in his dreams.
596,"Dudley gave a harsh bark of laughter then adopted a high-pitched,"
597,whimpering voice. “ ‘Don’t kill Cedric! Don’t kill Cedric!’ Who’s
598,Cedric — your boyfriend?”
599,“I — you’re lying —” said Harry automatically. But his mouth had
600,gone dry. He knew Dudley wasn’t lying — how else would he know
601,about Cedric?
602,"“ ‘Dad! Help me, Dad! He’s going to kill me, Dad! Boo-hoo!’ ”"
603,"“Shut up,” said Harry quietly. “Shut up, Dudley, I’m warning you!”"
604,"“ ‘Come and help me, Dad! Mum, come and help me! He’s killed"
605,"Cedric! Dad, help me! He’s going to —’ Don’t you point that thing at"
606,me!”
607,Dudley backed into the alley wall. Harry was pointing the wand di-
608,rectly at Dudley’s heart. Harry could feel fourteen years’ hatred of
609,"Dudley pounding in his veins — what wouldn’t he give to strike now,"
610,"to jinx Dudley so thoroughly he’d have to crawl home like an insect,"
611,"struck dumb, sprouting feelers —"
612,"“Don’t ever talk about that again,” Harry snarled. “D’you under-"
613,stand me?”
614,“Point that thing somewhere else!”
615,"“I said, do you understand me?”"
616,“Point it somewhere else!”
617,“DO YOU UNDERSTAND ME?”
618,“GET THAT THING AWAY FROM —”
619,"Dudley gave an odd, shuddering gasp, as though he had been"
620,doused in icy water.
621, 15 
622,CHAPTER ONE
623,Something had happened to the night. The star-strewn indigo sky
624,"was suddenly pitch-black and lightless — the stars, the moon, the"
625,misty streetlamps at either end of the alley had vanished. The distant
626,grumble of cars and the whisper of trees had gone. The balmy evening
627,"was suddenly piercingly, bitingly cold. They were surrounded by total,"
628,"impenetrable, silent darkness, as though some giant hand had"
629,"dropped a thick, icy mantle over the entire alleyway, blinding them."
630,For a split second Harry thought he had done magic without
631,"meaning to, despite the fact that he’d been resisting as hard as he"
632,could — then his reason caught up with his senses — he didn’t have
633,"the power to turn off the stars. He turned his head this way and that,"
634,"trying to see something, but the darkness pressed on his eyes like a"
635,weightless veil.
636,Dudley’s terrified voice broke in Harry’s ear.
637,“W-what are you d-doing? St-stop it!”
638,“I’m not doing anything! Shut up and don’t move!”
639,“I c-can’t see! I’ve g-gone blind! I —”
640,“I said shut up!”
641,"Harry stood stock-still, turning his sightless eyes left and right. The"
642,cold was so intense that he was shivering all over; goose bumps had
643,"erupted up his arms, and the hairs on the back of his neck were stand-"
644,"ing up — he opened his eyes to their fullest extent, staring blankly"
645,"around, unseeing . . ."
