,Harry Potter
53,The Riddle House · 1
54,TWO
55,The Scar · 16
56,THREE
57,The Invitation · 26
58,FOUR
59,Back to the Burrow · 39
60,FIVE
61,Weasleys’ Wizard Wheezes · 51
62,SIX
63,The Portkey · 65
64,SEVEN
65,Bagman and Crouch · 75
66,EIGHT
67,The Quidditch World Cup · 95
68, vii 
69,Contents
70,NINE
71,The Dark Mark · 117
72,TEN
73,Mayhem at the Ministry · 145
74,ELEVEN
75,Aboard the Hogwarts Express · 158
76,TWELVE
77,The Triwizard Tournament · 171
78,THIRTEEN
79,Mad-Eye Moody · 193
80,FOURTEEN
81,The Unforgivable Curses · 209
82,FIFTEEN
83,Beauxbatons and Durmstrang · 228
84,SIXTEEN
85,The Goblet of Fire · 248
86,SEVENTEEN
87,The Four Champions · 272
88, viii  
89,Contents
90,EIGHTEEN
91,The Weighing of the Wands · 228
92,NINETEEN
93,The Hungarian Horntail · 313
94,TWENTY
95,The First Task · 337
96,TWENTY-ONE
97,The House-Elf Liberation Front · 363
98,TWENTY-TWO
99,The Unexpected Task · 385
100,TWENTY-Three
101,The Yule Ball · 403
102,TWENTY-FOUR
103,Rita Skeeter’s Scoop · 433
104,TWENTY-FIVE
105,The Egg and the Eye · 458
106,TWENTY-SIX
107,The Second Task · 479
108, ix   
109,Contents
110,TWENTY-SEVEN
111,Padfoot Returns · 509
112,TWENTY-EIGHT
113,The Madness of Mr. Crouch · 535
114,TWENTY-NINE
115,The Dream · 564
116,THIRTY
117,The Pensieve · 581
118,THIRTY-ONE
119,The Third Task · 605
120,THIRTY-TWO
121,"Flesh, Blood, and Bone · 636"
122,THIRTY-THREE
123,The Death Eaters · 644
124,THIRTY-FOUR
125,Priori Incantatem · 659
126,THIRTY-FIVE
127,Veritaserum · 670
128, x  
129,Contents
130,THIRTY-SIX
131,The Parting of the Ways · 692
132,THIRTY-SEVEN
133,The Beginning · 716
134, xi  
135,Harry Potter
136,And the GOBLET of FIRE
137,CHAPTER ONE
138,THE RIDDLE HOUSE
139,T      he villagers of Little Hangleton still called it “the Riddle
140,"House,” even though it had been many years since the Rid-"
141,"dle family had lived there. It stood on a hill overlooking the village,"
142,"some of its windows boarded, tiles missing from its roof, and ivy"
143,"spreading unchecked over its face. Once a fine-looking manor, and"
144,"easily the largest and grandest building for miles around, the Rid-"
145,"dle House was now damp, derelict, and unoccupied."
146,The Little Hangletons all agreed that the old house was “creepy.”
147,"Half a century ago, something strange and horrible had happened"
148,"there, something that the older inhabitants of the village still liked"
149,to discuss when topics for gossip were scarce. The story had been
150,"picked over so many times, and had been embroidered in so many"
151,"places, that nobody was quite sure what the truth was anymore."
152,"Every version of the tale, however, started in the same place: Fifty"
153,"years before, at daybreak on a fine summer’s morning, when the"
154, 1 
155,CHAPTER ONE
156,"Riddle House had still been well kept and impressive, a maid had"
157,entered the drawing room to find all three Riddles dead.
158,The maid had run screaming down the hill into the village and
159,roused as many people as she could.
160,“Lying there with their eyes wide open! Cold as ice! Still in their
161,dinner things!”
162,"The police were summoned, and the whole of Little Hangleton"
163,had seethed with shocked curiosity and ill-disguised excitement.
164,Nobody wasted their breath pretending to feel very sad about the
165,"Riddles, for they had been most unpopular. Elderly Mr. and Mrs."
166,"Riddle had been rich, snobbish, and rude, and their grown-up son,"
167,"Tom, had been, if anything, worse. All the villagers cared about was"
168,"the identity of their murderer — for plainly, three apparently"
169,healthy people did not all drop dead of natural causes on the same
170,night.
171,"The Hanged Man, the village pub, did a roaring trade that"
172,night; the whole village seemed to have turned out to discuss the
173,murders. They were rewarded for leaving their firesides when the
174,Riddles’ cook arrived dramatically in their midst and announced
175,to the suddenly silent pub that a man called Frank Bryce had just
176,been arrested.
177,“Frank!” cried several people. “Never!”
178,Frank Bryce was the Riddles’ gardener. He lived alone in a run-
179,down cottage on the grounds of the Riddle House. Frank had
180,come back from the war with a very stiff leg and a great dislike of
181,"crowds and loud noises, and had been working for the Riddles ever"
182,since.
183,There was a rush to buy the cook drinks and hear more details.
184,"“Always thought he was odd,” she told the eagerly listening vil-"
185,  2 
186,THE RIDDLE HOUSE
187,"lagers, after her fourth sherry. “Unfriendly, like. I’m sure if I’ve of-"
188,"fered him a cuppa once, I’ve offered it a hundred times. Never"
189,"wanted to mix, he didn’t.”"
190,"“Ah, now,” said a woman at the bar, “he had a hard war, Frank."
191,He likes the quiet life. That’s no reason to —”
192,"“Who else had a key to the back door, then?” barked the cook."
193,“There’s been a spare key hanging in the gardener’s cottage far back
194,as I can remember! Nobody forced the door last night! No broken
195,windows! All Frank had to do was creep up to the big house while
196,we was all sleeping. . . .”
197,The villagers exchanged dark looks.
198,"“I always thought he had a nasty look about him, right enough,”"
199,grunted a man at the bar.
200,"“War turned him funny, if you ask me,” said the landlord."
201,"“Told you I wouldn’t like to get on the wrong side of Frank,"
202,"didn’t I, Dot?” said an excited woman in the corner."
203,"“Horrible temper,” said Dot, nodding fervently. “I remember,"
204,when he was a kid . . .”
205,"By the following morning, hardly anyone in Little Hangleton"
206,doubted that Frank Bryce had killed the Riddles.
207,"But over in the neighboring town of Great Hangleton, in the"
208,"dark and dingy police station, Frank was stubbornly repeating,"
209,"again and again, that he was innocent, and that the only person he"
210,had seen near the house on the day of the Riddles’ deaths had been
211,"a teenage boy, a stranger, dark-haired and pale. Nobody else in the"
212,"village had seen any such boy, and the police were quite sure that"
213,Frank had invented him.
214,"Then, just when things were looking very serious for Frank, the"
215,report on the Riddles’ bodies came back and changed everything.
216,  3 
217,CHAPTER ONE
218,The police had never read an odder report. A team of doctors
219,had examined the bodies and had concluded that none of the Rid-
220,"dles had been poisoned, stabbed, shot, strangled, suffocated, or (as"
221,"far as they could tell) harmed at all. In fact (the report continued,"
222,"in a tone of unmistakable bewilderment), the Riddles all appeared"
223,to be in perfect health — apart from the fact that they were all
224,dead. The doctors did note (as though determined to find some-
225,thing wrong with the bodies) that each of the Riddles had a look of
226,"terror upon his or her face — but as the frustrated police said,"
227,whoever heard of three people being frightened to death?
228,"As there was no proof that the Riddles had been murdered at all,"
229,the police were forced to let Frank go. The Riddles were buried in
230,"the Little Hangleton churchyard, and their graves remained objects"
231,"of curiosity for a while. To everyone’s surprise, and amid a cloud of"
232,"suspicion, Frank Bryce returned to his cottage on the grounds of the"
233,Riddle House.
234,"“ ’S far as I’m concerned, he killed them, and I don’t care what"
235,"the police say,” said Dot in the Hanged Man. “And if he had any"
236,"decency, he’d leave here, knowing as how we knows he did it.”"
237,But Frank did not leave. He stayed to tend the garden for the
238,"next family who lived in the Riddle House, and then the next —"
239,for neither family stayed long. Perhaps it was partly because of
240,Frank that the new owners said there was a nasty feeling about the
241,"place, which, in the absence of inhabitants, started to fall into"
242,disrepair.
243,The wealthy man who owned the Riddle House these days neither
244,lived there nor put it to any use; they said in the village that he kept
245,"it for “tax reasons,” though nobody was very clear what these might"
246,  4  
247,THE RIDDLE HOUSE
248,be. The wealthy owner continued to pay Frank to do the garden-
249,"ing, however. Frank was nearing his seventy-seventh birthday now,"
250,"very deaf, his bad leg stiffer than ever, but could be seen pottering"
251,"around the flower beds in fine weather, even though the weeds were"
252,"starting to creep up on him, try as he might to suppress them."
253,Weeds were not the only things Frank had to contend with ei-
254,ther. Boys from the village made a habit of throwing stones
255,through the windows of the Riddle House. They rode their bicycles
256,over the lawns Frank worked so hard to keep smooth. Once or
257,"twice, they broke into the old house for a dare. They knew that old"
258,Frank’s devotion to the house and grounds amounted almost to an
259,"obsession, and it amused them to see him limping across the gar-"
260,"den, brandishing his stick and yelling croakily at them. Frank, for"
261,"his part, believed the boys tormented him because they, like their"
262,"parents and grandparents, thought him a murderer. So when Frank"
263,awoke one night in August and saw something very odd up at the
264,"old house, he merely assumed that the boys had gone one step fur-"
265,ther in their attempts to punish him.
266,It was Frank’s bad leg that woke him; it was paining him worse
267,than ever in his old age. He got up and limped downstairs into the
268,kitchen with the idea of refilling his hot-water bottle to ease the
269,"stiffness in his knee. Standing at the sink, filling the kettle, he"
270,looked up at the Riddle House and saw lights glimmering in its up-
271,per windows. Frank knew at once what was going on. The boys
272,"had broken into the house again, and judging by the flickering"
273,"quality of the light, they had started a fire."
274,"Frank had no telephone, and in any case, he had deeply mis-"
275,trusted the police ever since they had taken him in for questioning
276,"about the Riddles’ deaths. He put down the kettle at once, hurried"
277, 5  
278,CHAPTER ONE
279,"back upstairs as fast as his bad leg would allow, and was soon back"
280,"in his kitchen, fully dressed and removing a rusty old key from its"
281,"hook by the door. He picked up his walking stick, which was"
282,"propped against the wall, and set off into the night."
283,The front door of the Riddle House bore no sign of being
284,"forced, nor did any of the windows. Frank limped around to the"
285,back of the house until he reached a door almost completely hid-
286,"den by ivy, took out the old key, put it into the lock, and opened"
287,the door noiselessly.
288,He let himself into the cavernous kitchen. Frank had not en-
289,"tered it for many years; nevertheless, although it was very dark, he"
290,"remembered where the door into the hall was, and he groped his"
291,"way toward it, his nostrils full of the smell of decay, ears pricked for"
292,any sound of footsteps or voices from overhead. He reached the
293,"hall, which was a little lighter owing to the large mullioned win-"
294,"dows on either side of the front door, and started to climb the"
295,"stairs, blessing the dust that lay thick upon the stone, because it"
296,muffled the sound of his feet and stick.
297,"On the landing, Frank turned right, and saw at once where the"
298,"intruders were: At the very end of the passage a door stood ajar, and"
299,"a flickering light shone through the gap, casting a long sliver of"
300,"gold across the black floor. Frank edged closer and closer, grasping"
301,"his walking stick firmly. Several feet from the entrance, he was able"
302,to see a narrow slice of the room beyond.
303,"The fire, he now saw, had been lit in the grate. This surprised"
304,"him. Then he stopped moving and listened intently, for a man’s"
305,voice spoke within the room; it sounded timid and fearful.
306,"“There is a little more in the bottle, My Lord, if you are still"
307,hungry.”
308, 6 
309,THE RIDDLE HOUSE
310,"“Later,” said a second voice. This too belonged to a man — but"
311,"it was strangely high-pitched, and cold as a sudden blast of icy"
312,wind. Something about that voice made the sparse hairs on the
313,"back of Frank’s neck stand up. “Move me closer to the fire,"
314,Wormtail.”
315,"Frank turned his right ear toward the door, the better to hear."
316,There came the clink of a bottle being put down upon some hard
317,"surface, and then the dull scraping noise of a heavy chair being"
318,"dragged across the floor. Frank caught a glimpse of a small man, his"
319,"back to the door, pushing the chair into place. He was wearing a"
320,"long black cloak, and there was a bald patch at the back of his head."
321,Then he went out of sight again.
322,“Where is Nagini?” said the cold voice.
323,"“I — I don’t know, My Lord,” said the first voice nervously. “She"
324,"set out to explore the house, I think. . . .”"
325,"“You will milk her before we retire, Wormtail,” said the second"
326,voice. “I will need feeding in the night. The journey has tired me
327,greatly.”
328,"Brow furrowed, Frank inclined his good ear still closer to the"
329,"door, listening very hard. There was a pause, and then the man"
330,called Wormtail spoke again.
331,"“My Lord, may I ask how long we are going to stay here?”"
332,"“A week,” said the cold voice. “Perhaps longer. The place is mod-"
333,"erately comfortable, and the plan cannot proceed yet. It would be"
334,foolish to act before the Quidditch World Cup is over.”
335,Frank inserted a gnarled finger into his ear and rotated it. Ow-
336,"ing, no doubt, to a buildup of earwax, he had heard the word"
337,"“Quidditch,” which was not a word at all."
338,"“The — the Quidditch World Cup, My Lord?” said Wormtail."
339, 7 
340,CHAPTER ONE
341,(Frank dug his finger still more vigorously into his ear.) “Forgive
342,"me, but — I do not understand — why should we wait until the"
343,World Cup is over?”
344,"“Because, fool, at this very moment wizards are pouring into the"
345,"country from all over the world, and every meddler from the Min-"
346,"istry of Magic will be on duty, on the watch for signs of unusual ac-"
347,"tivity, checking and double-checking identities. They will be"
348,"obsessed with security, lest the Muggles notice anything. So we"
349,wait.”
350,Frank stopped trying to clear out his ear. He had distinctly heard
351,"the words “Ministry of Magic,” “wizards,” and “Muggles.” Plainly,"
352,"each of these expressions meant something secret, and Frank could"
353,think of only two sorts of people who would speak in code: spies
354,and criminals. Frank tightened his hold on his walking stick once
355,"more, and listened more closely still."
356,"“Your Lordship is still determined, then?” Wormtail said quietly."
357,"“Certainly I am determined, Wormtail.” There was a note of"
358,menace in the cold voice now.
359,"A slight pause followed — and then Wormtail spoke, the words"
360,"tumbling from him in a rush, as though he was forcing himself to"
361,say this before he lost his nerve.
362,"“It could be done without Harry Potter, My Lord.”"
363,"Another pause, more protracted, and then —"
364,“Without Harry Potter?” breathed the second voice softly. “I
365,see . . .”
366,"“My Lord, I do not say this out of concern for the boy!” said"
367,"Wormtail, his voice rising squeakily. “The boy is nothing to me,"
368,nothing at all! It is merely that if we were to use another witch or
369, 8 
370,THE RIDDLE HOUSE
371,wizard — any wizard — the thing could be done so much more
372,quickly! If you allowed me to leave you for a short while — you
373,know that I can disguise myself most effectively — I could be back
374,here in as little as two days with a suitable person —”
375,"“I could use another wizard,” said the cold voice softly, “that is"
376,true. . . .”
377,"“My Lord, it makes sense,” said Wormtail, sounding thoroughly"
378,"relieved now. “Laying hands on Harry Potter would be so difficult,"
379,he is so well protected —”
380,“And so you volunteer to go and fetch me a substitute? I won-
381,der . . . perhaps the task of nursing me has become wearisome for
382,"you, “Wormtail? Could this suggestion of abandoning the plan be"
383,nothing more than an attempt to desert me?”
384,"“My Lord! I — I have no wish to leave you, none at all —”"
385,"“Do not lie to me!” hissed the second voice. “I can always tell,"
386,Wormtail! You are regretting that you ever returned to me. I revolt
387,"you. I see you flinch when you look at me, feel you shudder when"
388,you touch me. . . .”
389,“No! My devotion to Your Lordship —”
390,“Your devotion is nothing more than cowardice. You would not
391,be here if you had anywhere else to go. How am I to survive with-
392,"out you, when I need feeding every few hours? Who is to milk"
393,Nagini?”
394,"“But you seem so much stronger, My Lord —”"
395,"“Liar,” breathed the second voice. “I am no stronger, and a few"
396,days alone would be enough to rob me of the little health I have re-
397,gained under your clumsy care. Silence!”
398,"Wormtail, who had been sputtering incoherently, fell silent at"
399,  9 
400,CHAPTER ONE
401,"once. For a few seconds, Frank could hear nothing but the fire"
402,"crackling. Then the second man spoke once more, in a whisper"
403,that was almost a hiss.
404,"“I have my reasons for using the boy, as I have already explained"
405,"to you, and I will use no other. I have waited thirteen years. A few"
406,more months will make no difference. As for the protection sur-
407,"rounding the boy, I believe my plan will be effective. All that is"
408,"needed is a little courage from you, Wormtail — courage you will"
409,"find, unless you wish to feel the full extent of Lord Voldemort’s"
410,wrath —”
411,"“My Lord, I must speak!” said Wormtail, panic in his voice now."
412,“All through our journey I have gone over the plan in my head —
413,"My Lord, Bertha Jorkins’s disappearance will not go unnoticed for"
414,"long, and if we proceed, if I murder —”"
415,"“If?” whispered the second voice. “If ? If you follow the plan,"
416,"Wormtail, the Ministry need never know that anyone else has died."
417,You will do it quietly and without fuss; I only wish that I could do
418,"it myself, but in my present condition . . . Come, Wormtail, one"
419,more death and our path to Harry Potter is clear. I am not asking
420,"you to do it alone. By that time, my faithful servant will have re-"
421,joined us —”
422,"“I am a faithful servant,” said Wormtail, the merest trace of sul-"
423,lenness in his voice.
424,"“Wormtail, I need somebody with brains, somebody whose loy-"
425,"alty has never wavered, and you, unfortunately, fulfill neither"
426,requirement.”
427,"“I found you,” said Wormtail, and there was definitely a sulky"
428,edge to his voice now. “I was the one who found you. I brought
429,you Bertha Jorkins.”
430, 10 
431,THE RIDDLE HOUSE
432,"“That is true,” said the second man, sounding amused. “A stroke"
433,"of brilliance I would not have thought possible from you, Worm-"
434,"tail — though, if truth be told, you were not aware how useful she"
435,"would be when you caught her, were you?”"
436,"“I — I thought she might be useful, My Lord —”"
437,"“Liar,” said the second voice again, the cruel amusement more"
438,"pronounced than ever. “However, I do not deny that her informa-"
439,"tion was invaluable. Without it, I could never have formed our"
440,"plan, and for that, you will have your reward, Wormtail. I will al-"
441,"low you to perform an essential task for me, one that many of my"
442,followers would give their right hands to perform. . . .”
443,"“R-really, My Lord? What — ?” Wormtail sounded terrified"
444,again.
445,"“Ah, Wormtail, you don’t want me to spoil the surprise? Your"
446,"part will come at the very end . . . but I promise you, you will have"
447,the honor of being just as useful as Bertha Jorkins.”
448,"“You . . . you . . .” Wormtail’s voice suddenly sounded hoarse, as"
449,though his mouth had gone very dry. “You . . . are going . . . to kill
450,me too?”
451,"“Wormtail, Wormtail,” said the cold voice silkily, “why would I"
452,kill you? I killed Bertha because I had to. She was fit for nothing af-
453,"ter my questioning, quite useless. In any case, awkward questions"
454,would have been asked if she had gone back to the Ministry with
455,the news that she had met you on her holidays. Wizards who are
456,supposed to be dead would do well not to run into Ministry of
457,Magic witches at wayside inns. . . .”
458,Wormtail muttered something so quietly that Frank could not
459,"hear it, but it made the second man laugh — an entirely mirthless"
460,"laugh, cold as his speech."
461, 11  
462,CHAPTER ONE
463,“We could have modified her memory? But Memory Charms can
464,"be broken by a powerful wizard, as I proved when I questioned her."
465,It would be an insult to her memory not to use the information I ex-
466,"tracted from her, Wormtail.”"
467,"Out in the corridor, Frank suddenly became aware that the hand"
468,gripping his walking stick was slippery with sweat. The man with
469,the cold voice had killed a woman. He was talking about it without
470,any kind of remorse — with amusement. He was dangerous — a
471,"madman. And he was planning more murders — this boy, Harry"
472,"Potter, whoever he was — was in danger —"
473,"Frank knew what he must do. Now, if ever, was the time to go to"
474,the police. He would creep out of the house and head straight for
475,the telephone box in the village . . . but the cold voice was speaking
476,"again, and Frank remained where he was, frozen to the spot, listen-"
477,ing with all his might.
478,“One more murder . . . my faithful servant at Hogwarts . . .
479,"Harry Potter is as good as mine, Wormtail. It is decided. There will"
480,be no more argument. But quiet . . . I think I hear Nagini. . . .”
481,And the second man’s voice changed. He started making noises
482,such as Frank had never heard before; he was hissing and spitting
483,without drawing breath. Frank thought he must be having some
484,sort of fit or seizure.
485,And then Frank heard movement behind him in the dark pas-
486,"sageway. He turned to look, and found himself paralyzed with"
487,fright.
488,Something was slithering toward him along the dark corridor
489,"floor, and as it drew nearer to the sliver of firelight, he realized with"
490,"a thrill of terror that it was a gigantic snake, at least twelve feet"
491,"long. Horrified, transfixed, Frank stared as its undulating body cut"
492, 12   
493,THE RIDDLE HOUSE
494,"a wide, curving track through the thick dust on the floor, coming"
495,closer and closer — What was he to do? The only means of escape
496,"was into the room where two men sat plotting murder, yet if he"
497,stayed where he was the snake would surely kill him —
498,"But before he had made his decision, the snake was level with"
499,"him, and then, incredibly, miraculously, it was passing; it was fol-"
500,"lowing the spitting, hissing noises made by the cold voice beyond"
501,"the door, and in seconds, the tip of its diamond-patterned tail had"
502,vanished through the gap.
503,"There was sweat on Frank’s forehead now, and the hand on the"
504,"walking stick was trembling. Inside the room, the cold voice was"
505,"continuing to hiss, and Frank was visited by a strange idea, an im-"
506,possible idea. . . . This man could talk to snakes.
507,Frank didn’t understand what was going on. He wanted more
508,than anything to be back in his bed with his hot-water bottle. The
509,problem was that his legs didn’t seem to want to move. As he stood
510,"there shaking and trying to master himself, the cold voice switched"
511,abruptly to English again.
512,"“Nagini has interesting news, Wormtail,” it said."
513,"“In-indeed, My Lord?” said Wormtail."
514,"“Indeed, yes,” said the voice. “According to Nagini, there is an"
515,"old Muggle standing right outside this room, listening to every"
516,word we say.”
517,"Frank didn’t have a chance to hide himself. There were footsteps,"
518,and then the door of the room was flung wide open.
519,"A short, balding man with graying hair, a pointed nose, and"
520,"small, watery eyes stood before Frank, a mixture of fear and alarm"
521,in his face.
522,"“Invite him inside, Wormtail. Where are your manners?”"
523,  13  
524,CHAPTER ONE
525,The cold voice was coming from the ancient armchair before the
526,"fire, but Frank couldn’t see the speaker. The snake, on the other"
527,"hand, was curled up on the rotting hearth rug, like some horrible"
528,travesty of a pet dog.
529,Wormtail beckoned Frank into the room. Though still deeply
530,"shaken, Frank took a firmer grip upon his walking stick and limped"
531,over the threshold.
532,"The fire was the only source of light in the room; it cast long,"
533,spidery shadows upon the walls. Frank stared at the back of the
534,armchair; the man inside it seemed to be even smaller than his ser-
535,"vant, for Frank couldn’t even see the back of his head."
536,"“You heard everything, Muggle?” said the cold voice."
537,"“What’s that you’re calling me?” said Frank defiantly, for now"
538,"that he was inside the room, now that the time had come for some"
539,"sort of action, he felt braver; it had always been so in the war."
540,"“I am calling you a Muggle,” said the voice coolly. “It means that"
541,you are not a wizard.”
542,"“I don’t know what you mean by wizard,” said Frank, his voice"
543,growing steadier. “All I know is I’ve heard enough to interest the
544,"police tonight, I have. You’ve done murder and you’re planning"
545,"more! And I’ll tell you this too,” he added, on a sudden inspiration,"
546,"“my wife knows I’m up here, and if I don’t come back —”"
547,"“You have no wife,” said the cold voice, very quietly. “Nobody"
548,knows you are here. You told nobody that you were coming. Do
549,"not lie to Lord Voldemort, Muggle, for he knows . . . he always"
550,knows. . . .”
551,"“Is that right?” said Frank roughly. “Lord, is it? Well, I don’t"
552,"think much of your manners, My Lord. Turn ’round and face me"
553,"like a man, why don’t you?”"
554, 14  
555,THE RIDDLE HOUSE
556,"“But I am not a man, Muggle,” said the cold voice, barely audi-"
557,"ble now over the crackling of the flames. “I am much, much more"
558,"than a man. However . . . why not? I will face you. . . . Wormtail,"
559,come turn my chair around.”
560,The servant gave a whimper.
561,"“You heard me, Wormtail.”"
562,"Slowly, with his face screwed up, as though he would rather have"
563,done anything than approach his master and the hearth rug where
564,"the snake lay, the small man walked forward and began to turn the"
565,chair. The snake lifted its ugly triangular head and hissed slightly as
566,the legs of the chair snagged on its rug.
567,"And then the chair was facing Frank, and he saw what was sit-"
568,ting in it. His walking stick fell to the floor with a clatter. He
569,opened his mouth and let out a scream. He was screaming so
570,loudly that he never heard the words the thing in the chair spoke as
571,"it raised a wand. There was a flash of green light, a rushing sound,"
572,and Frank Bryce crumpled. He was dead before he hit the floor.
573,"Two hundred miles away, the boy called Harry Potter woke with"
574,a start.
575, 15  
576,CHAPTER TWO
577,THE SCAR
578,"H         arry lay flat on his back, breathing hard as though he had"
579,been running. He had awoken from a vivid dream with
580,"his hands pressed over his face. The old scar on his forehead, which"
581,"was shaped like a bolt of lightning, was burning beneath his fingers"
582,as though someone had just pressed a white-hot wire to his skin.
583,"He sat up, one hand still on his scar, the other reaching out in"
584,"the darkness for his glasses, which were on the bedside table. He"
585,"put them on and his bedroom came into clearer focus, lit by a faint,"
586,misty orange light that was filtering through the curtains from the
587,street lamp outside the window.
588,Harry ran his fingers over the scar again. It was still painful. He
589,"turned on the lamp beside him, scrambled out of bed, crossed the"
590,"room, opened his wardrobe, and peered into the mirror on the in-"
591,"side of the door. A skinny boy of fourteen looked back at him, his"
592,bright green eyes puzzled under his untidy black hair. He examined
593, 16  
594,THE SCAR
595,the lightning-bolt scar of his reflection more closely. It looked
596,"normal, but it was still stinging."
597,Harry tried to recall what he had been dreaming about before he
598,had awoken. It had seemed so real. . . . There had been two people
599,"he knew and one he didn’t. . . . He concentrated hard, frowning,"
600,trying to remember. . . .
601,The dim picture of a darkened room came to him. . . . There
602,"had been a snake on a hearth rug . . . a small man called Peter,"
603,"nicknamed Wormtail . . . and a cold, high voice . . . the voice of"
604,Lord Voldemort. Harry felt as though an ice cube had slipped
605,down into his stomach at the very thought. . . .
606,He closed his eyes tightly and tried to remember what Volde-
607,"mort had looked like, but it was impossible. . . . All Harry knew"
608,was that at the moment when Voldemort’s chair had swung
609,"around, and he, Harry, had seen what was sitting in it, he had felt"
610,"a spasm of horror, which had awoken him . . . or had that been the"
611,pain in his scar?
612,And who had the old man been? For there had definitely been an
613,old man; Harry had watched him fall to the ground. It was all be-
614,"coming confused. Harry put his face into his hands, blocking out"
615,"his bedroom, trying to hold on to the picture of that dimly lit"
616,"room, but it was like trying to keep water in his cupped hands; the"
617,details were now trickling away as fast as he tried to hold on to
618,them. . . . Voldemort and Wormtail had been talking about some-
619,"one they had killed, though Harry could not remember the"
620,name . . . and they had been plotting to kill someone else . . . him!
621,"Harry took his face out of his hands, opened his eyes, and stared"
622,around his bedroom as though expecting to see something unusual
623,  17 
624,CHAPTER TWO
625,"there. As it happened, there were an extraordinary number of un-"
626,usual things in this room. A large wooden trunk stood open at the
627,"foot of his bed, revealing a cauldron, broomstick, black robes, and"
628,assorted spellbooks. Rolls of parchment littered that part of his
629,"desk that was not taken up by the large, empty cage in which his"
630,"snowy owl, Hedwig, usually perched. On the floor beside his bed a"
631,book lay open; Harry had been reading it before he fell asleep last
632,night. The pictures in this book were all moving. Men in bright or-
633,"ange robes were zooming in and out of sight on broomsticks,"
634,throwing a red ball to one another.
635,"Harry walked over to the book, picked it up, and watched one"
636,of the wizards score a spectacular goal by putting the ball through
637,a fifty-foot-high hoop. Then he snapped the book shut. Even
638,"Quidditch — in Harry’s opinion, the best sport in the world —"
639,couldn’t distract him at the moment. He placed Flying with the
640,"Cannons on his bedside table, crossed to the window, and drew"
641,back the curtains to survey the street below.
642,Privet Drive looked exactly as a respectable suburban street
643,would be expected to look in the early hours of Saturday morning.
644,All the curtains were closed. As far as Harry could see through the
645,"darkness, there wasn’t a living creature in sight, not even a cat."
646,And yet . . . and yet . . . Harry went restlessly back to the bed
647,"and sat down on it, running a finger over his scar again. It wasn’t"
648,the pain that bothered him; Harry was no stranger to pain and in-
649,jury. He had lost all the bones from his right arm once and had
650,them painfully regrown in a night. The same arm had been pierced
651,by a venomous foot-long fang not long afterward. Only last year
652,Harry had fallen fifty feet from an airborne broomstick. He was
653,used to bizarre accidents and injuries; they were unavoidable if you
654, 18  
655,THE SCAR
656,attended Hogwarts School of Witchcraft and Wizardry and had a
657,knack for attracting a lot of trouble.
658,"No, the thing that was bothering Harry was that the last time his"
659,"scar had hurt him, it had been because Voldemort had been close"
660,"by. . . . But Voldemort couldn’t be here, now. . . . The idea of"
661,"Voldemort lurking in Privet Drive was absurd, impossible. . . ."
662,Harry listened closely to the silence around him. Was he half-
663,expecting to hear the creak of a stair or the swish of a cloak? And
664,then he jumped slightly as he heard his cousin Dudley give a
665,tremendous grunting snore from the next room.
